ID	Category	Type	Name	Price	Available	Adults	Children	LargeLuggage	SmallLuggage	Image	Description
11	Commercial	Vans	1 Tonne Van - Toyota Hiace (similar) Manual & Air	70.00 	yes	2	1	0	0	1_Tonne_11.jpg	*1 Tonne Van 4 door *Side & Rear Access *2.9 metres long *Nominal Payload *1~Ton Capacity *4.1 Cubic metres *5~Speed Manual *Power Steering *Central Locking *Radio *Airbag(s) *Engine 2 litre 4 cyl *Air Con
12	Commercial	Vans	1.6 Tonne Van - Ford Transit (similar) Manual & Air	108.00 	yes	2	1	0	0	1.6_Tonne_12.jpg	*1.6 Tonne Van 3 dr *Van Access - Rear *3 metre long *9~cubic metres *Nominal Payload *1.6 ton capacity *Auto *Air Cond *Power Steering *Central Locking *Radio *Airbag(s) *Engine 4 cyl Diesel
13	Commercial	Trucks	3 Tonne Van - Mitsubishi Canter (similar) Manual & Air	85.00 	yes	2	1	0	0	3_Tonne_13.jpg	*3 Tonne Cab Van *Van Access - Rear *Manual *Air Cond *Power Steering *Central Locking *Radio *Airbag(s) *Engine 4 cyl Diesel
14	Commercial	Trucks	2 Tonne Tray - Mitsubishi Canter (similar) Manual & Air	100.00 	yes	3	0	0	0	2_Tonne_14.jpg	*2 Ton 3 metre Tray *Drop Sides *Nominal Payload *2~Ton Capacity *Manual *Air Cond *Power Steering *Central Locking *Radio AM FM *Engine 4 cyl Diesel
15	Commercial	Trucks	6 Tonne Van - Mitsubishi Fighter (similar) Manual & Air	215.05 	yes	2	1	0	0	6_Tonne_15.jpg	*6 Tonne Cab Van *Van Access - Rear *Manual *Air Cond *Power Steering *Central Locking *Radio *Airbag(s) *Engine 6 cyl Diesel
16	Commercial	Buses	12 Seat Bus - Man & Air - Toyota Commuter	109.00 	yes	12	0	-1	0	12_Seat_16.jpg	*12 Seats incl Driver *5 Speed Manual with *Air Conditioning *Power Steering *Radio *4 doors *Engine 2.4 litre 4 cyl
17	Commercial	Buses	22 Seat Bus - Man or Auto - Toyota Coaster	199.00 	yes	22	0	-1	0	22_Seat_17.jpg	*22 Seats incl Driver *Auto or Manual with *Air Cond *Radio *Power Steering *Engine 4 cyl Turbo *Fuel - Diesel 90 ltrs
18	Commercial	Buses	25 Seat Bus - Man or Auto - Mitsubishi Rosa (similar)	220.00 	yes	25	0	-1	0	25_Seat_18.jpg	*25 Seats incl Driver *Manual or Auto with *Air Cond *Radio *Power Steering *Engine 4 cyl Turbo *Fuel - Diesel 90 ltrs
19	Commercial	4WD Commercial	4WD Tray - Toyota Landcruiser (similar) Manual & Air	85.00 	yes	2	1	0	0	4WD_Tray_19.jpg	*4WD Single Cab *Tray - Drop Sides *Manual *Air Cond *Power Steering *Radio *Airbag(s) *Engine 2.4 litre *Fuel Diesel 180 ltrs
20	Commercial	4WD Commercial	4WD Dual Cab Ute - Mitsubishi Triton (similar) Manual & Air	90.00 	yes	5	0	0	0	4WD_Dual_20.jpg	*4WD Dual Cab Ute *Well or Drop Sides *Manual *Air Cond *Power Steering *Radio *Airbag(s) *Engine 3 litre 4 cyl *Fuel Petrol or Diesel
